packagetype,shipment_count,current_total,s14_total,current_avg,s14_avg,avg_weight,p2p_us_count,p2p_us2_count,fedex_count,forced_count,diff,diff_pct
MIXPIX BOX_(2),483,4114.229598806628,3015.2316774953206,8.51807370353339,6.242715688396109,2.3111474289142055,232,75,176,176,-1098.9979213113074,-26.71211936324804
"CROSS PACKAGING 40X40""",397,11057.096267935816,10720.43366486488,27.851627878931527,27.003611246511035,16.39646146922779,1,4,392,10,-336.6626030709358,-3.044765053255572
PIZZA BOX 40x30x2 (2x strapped),331,8752.484813685798,9141.700075675675,26.442552307207848,27.618429231648566,16.712205045577353,0,1,330,2,389.21526198987704,4.446911594536922
MIXPIX BOX_(4),315,2775.650560570577,1738.889332619745,8.811589081176434,5.5202835956182374,0.6131650404387321,95,128,92,92,-1036.761227950832,-37.352008306755664
WRAP 36''x24'',294,3581.069844066528,2788.623794594593,12.180509673695672,9.485114947600657,9.418140333923615,142,0,152,1,-792.4460494719347,-22.128751573637636
PIZZA BOX 24x20x2 (3x strapped),294,4701.394375564191,3343.201924324319,15.991137331850991,11.371435116749383,16.437613763705226,139,0,155,10,-1358.1924512398723,-28.889141023760263
Carpet Box 37x5x5,288,2944.697083858104,2284.531135135132,10.224642652285084,7.932399774774764,3.416904793051811,158,0,130,1,-660.1659487229722,-22.418806754073028
PIZZA BOX 40x30x2 (3x strapped),239,6592.504956668918,6773.544475675672,27.583702747568694,28.341190274793608,28.146555354976375,0,0,239,1,181.03951900675474,2.7461415682913795
WRAP 27''x23'',228,2404.152618324322,1787.0092000000009,10.544529027738253,7.837759649122811,5.664864846667108,135,2,91,12,-617.1434183243209,-25.669893567508446
PIZZA BOX 27x23x2 (2x strapped),184,2784.3705431385138,2102.6513513513532,15.132448604013662,11.427452996474745,16.818634628771743,84,0,100,3,-681.7191917871605,-24.48378120746579
PIZZA BOX 30x20x3 (3x strapped),100,1507.5461337364868,1428.8969405405412,15.075461337364867,14.288969405405412,25.151459206496206,7,0,93,28,-78.6491931959456,-5.217033922604532
WRAP 40''x30'',65,846.2548324831084,890.8525729729731,13.019305115124745,13.705424199584202,6.966064802862769,0,0,65,0,44.59774048986469,5.270013095110436
PIZZA BOX 27x23x2 (3x strapped),36,729.315605043919,668.0991567567568,20.25876680677553,18.55830990990991,26.73594842887777,7,1,28,8,-61.21644828716228,-8.393684142200119
WRAP 36''x24'' [x3],20,449.0981364662163,343.0328972972974,22.454906823310814,17.15164486486487,32.827822891979004,0,0,20,0,-106.06523916891894,-23.61738572408834
WRAP 40''x30'' [x3],5,131.75098736148647,129.6057081081081,26.350197472297292,25.921141621621622,26.408733440456,0,0,5,0,-2.1452792533783622,-1.6282832457963587
