weight_bracket,shipment_count,current_total,s14_total,current_avg,s14_avg,p2p_us_count,p2p_us2_count,fedex_count,forced_count,diff,diff_pct
18,1193,26335.682550503396,22518.328324324357,22.075173973598822,18.875379986860317,88,0,1105,45,-3817.354226179039,-14.49498876233254
19,880,19230.112771893848,16882.40816216215,21.8524008771521,19.18455472972972,94,0,786,42,-2347.704609731696,-12.208480717611964
20,763,17198.76058731757,15033.634313513481,22.54097062558004,19.70332151181321,69,0,694,47,-2165.1262738040896,-12.58885059078421
21,634,14269.14153065893,12592.867189189179,22.50653238274279,19.862566544462428,41,0,593,24,-1676.2743414697507,-11.747548637513182
22,616,14024.645348496653,12585.226972972963,22.767281409897166,20.430563267813252,51,0,565,33,-1439.41837552369,-10.263492157953111
23,494,12031.571728527046,10335.09014054052,24.3554083573422,20.921235102308746,27,0,467,33,-1696.4815879865255,-14.100249130079497
24,400,9791.429028655417,8721.644886486483,24.47857257163854,21.804112216216208,26,0,374,14,-1069.7841421689336,-10.925720229785897
25,405,9295.524943172299,8555.376810810814,22.9519134399316,21.124387187187196,21,0,384,43,-740.1481323614844,-7.962413493442715
26,436,12110.605998016916,11052.761686486496,27.77661926150669,25.350370840565358,4,0,432,14,-1057.8443115304199,-8.734858616518773
27,218,5797.514534557432,5139.28467027027,26.594103369529503,23.57470032234069,11,0,207,8,-658.229864287162,-11.35365612908135
28,195,5396.863085327705,4846.685448648654,27.676220950398488,24.8547971725572,8,0,187,8,-550.1776366790518,-10.194396781619378
29,148,4041.0114520168922,3377.7376000000013,27.30413143254657,22.82255135135136,7,0,141,10,-663.2738520168909,-16.4135603151
30,132,3466.872768121621,3132.5618702702704,26.26418763728501,23.73152932022932,7,0,125,8,-334.31089785135055,-9.643010292312598
31,182,4609.1274449763505,4307.590281081083,25.32487607129863,23.668078467478477,1,0,181,0,-301.53716389526744,-6.542174576316465
32,161,4425.07814433446,4053.8556324324336,27.48495741822646,25.179227530636233,1,0,160,0,-371.2225119020268,-8.389061159909964
33,115,3341.4402422702674,3031.406302702701,29.056002106697978,26.360054806110444,0,0,115,0,-310.03393956756645,-9.278452316625025
34,132,4035.8231160945925,3686.3514162162137,30.574417546171155,27.926904668304648,0,0,132,0,-349.4716998783788,-8.6592422369729
35,80,2434.316465402026,2209.540162162161,30.428955817525328,27.61925202702701,1,0,79,0,-224.77630323986523,-9.233651681468768
36,76,2228.814346162161,2026.3546594594588,29.32650455476528,26.66256130867709,0,0,76,0,-202.45968670270236,-9.08373939046658
37,268,8031.4881902432435,7357.351372972975,29.968239515832998,27.452803630496174,1,0,267,0,-674.1368172702687,-8.393672521229863
38,82,2564.8492580810803,2358.3065945945946,31.27864948879366,28.759836519446274,0,0,82,0,-206.5426634864857,-8.052818809360081
39,75,2276.868814983108,2053.550551351351,30.35825086644144,27.38067401801801,0,0,75,0,-223.31826363175742,-9.80813045363855
40,46,1336.2491627837835,1257.6946270270264,29.04889484312573,27.341187544065793,0,0,46,0,-78.5545357567571,-5.878734142149498
41,61,2102.198465493243,1823.2888324324317,34.462269926118736,29.88998085954806,0,0,61,0,-278.9096330608113,-13.267521484721955
42,47,1395.7157478885133,1286.8995135135135,29.696079742308793,27.38084071305348,0,0,47,0,-108.8162343749998,-7.796446700527721
43,49,1519.7110507297298,1376.3890378378373,31.01451123938224,28.089572200772192,0,0,49,0,-143.32201289189243,-9.43087258746145
44,25,737.032877635135,664.6768,29.4813151054054,26.587072,0,0,25,0,-72.35607763513508,-9.817211664600212
45,45,1443.801037891892,1273.6130486486484,32.08446750870871,28.302512192192186,0,0,45,0,-170.1879892432437,-11.787495976020134
46,54,1649.5833825641887,1510.24508108108,30.547840417855348,27.96750150150148,0,0,54,0,-139.3383014831088,-8.446878342488812
