zip_code,shipping_state,phx_zone,cmh_zone,das
76226,Texas,5,5,DAS
33578,Florida,8,5,NO
06114,Connecticut,8,4,NO
20733,Maryland,8,4,NO
60042,Illinois,7,8,NO
11709,New York,8,5,NO
21054,Maryland,8,4,NO
16925,Pennsylvania,8,4,EDAS
11418,New York,8,4,NO
85378,Arizona,2,8,NO
01821,Massachusetts,8,5,NO
11368,New York,8,4,NO
93033,California,4,5,DAS
24570,Virginia,8,5,DAS
97008,Oregon,6,5,NO
91311,California,4,5,NO
98662,Washington,6,5,NO
11580,New York,8,4,NO
95038,California,4,5,NO
13037,New York,8,5,NO
33028,Florida,8,5,NO
46077,Indiana,7,2,NO
14226,New York,8,5,NO
80134,Colorado,4,8,NO
98421,Washington,5,5,NO
28255,North Carolina,8,4,NO
47304,Indiana,7,2,DAS
34957,Florida,8,5,DAS
98312,Washington,6,5,DAS
03052,New Hampshire,8,5,NO
75206,Texas,5,5,NO
92371,California,3,5,NO
63052,Missouri,6,4,NO
06335,Connecticut,8,4,DAS
33712,Florida,7,5,NO
07506,New Jersey,8,4,NO
45067,Ohio,7,2,NO
33614,Florida,8,5,NO
17554,Pennsylvania,8,4,NO
95128,California,4,5,NO
80224,Colorado,4,8,NO
02125,Massachusetts,8,5,NO
90707,California,4,5,NO
30044,Georgia,7,4,NO
01602,Massachusetts,8,5,NO
33849,Florida,8,5,EDAS
07981,New Jersey,8,4,NO
11801,New York,8,4,NO
13224,New York,8,4,NO
01801,Massachusetts,8,5,NO
02494,Massachusetts,8,4,NO
10176,New York,8,5,EDAS
10989,New York,8,4,NO
63135,Missouri,6,4,NO
27545,North Carolina,8,4,NO
80614,Colorado,4,8,NO
16435,Pennsylvania,8,4,EDAS
45872,Ohio,7,2,NO
20886,Maryland,8,4,NO
10112,New York,8,4,EDAS
97031,Oregon,6,5,EDAS
11360,New York,8,4,NO
94950,California,4,5,NO
53017,Wisconsin,6,8,DAS
23114,Virginia,8,4,NO
02052,Massachusetts,8,4,NO
45648,Ohio,7,2,NO
20108,District Of Columbia,8,8,NO
07080,New Jersey,8,4,NO
93706,California,4,5,NO
91766,California,4,5,NO
97223,Oregon,6,5,NO
06339,Connecticut,8,4,DAS
03062,New Hampshire,8,5,NO
41051,Kentucky,7,2,NO
41005,Kentucky,7,2,NO
28246,North Carolina,8,4,NO
94661,California,4,5,NO
90504,California,4,5,NO
11423,New York,8,4,NO
33135,Florida,8,5,NO
48353,Michigan,7,3,DAS
44333,Ohio,7,2,NO
10917,New York,8,5,NO
95562,California,5,5,EDAS
93711,California,4,5,NO
91203,California,4,5,NO
07699,New Jersey,8,4,NO
91715,California,4,5,NO
78121,Texas,5,5,NO
16406,Pennsylvania,8,3,NO
16148,Pennsylvania,8,3,DAS
75010,Texas,5,5,NO
06857,Connecticut,8,8,NO
91304,California,4,5,NO
76132,Texas,5,5,NO
20758,Maryland,8,5,DAS
14564,New York,8,4,NO
23805,Virginia,8,4,NO
92408,California,4,5,NO
96146,California,4,5,DAS
30680,Georgia,7,4,EDAS
95452,California,4,5,EDAS
30348,Georgia,7,3,NO
95712,California,4,5,NO
28016,North Carolina,8,4,NO
91011,California,4,5,EDAS
37020,Tennessee,7,3,NO
94518,California,5,5,NO
34982,Florida,8,5,EDAS
95152,California,4,5,NO
62221,Illinois,6,4,NO
38132,Tennessee,7,5,NO
19096,Pennsylvania,8,4,NO
01887,Massachusetts,8,5,NO
22701,Virginia,8,3,DAS
07601,New Jersey,8,4,NO
95159,California,4,5,NO
97403,Oregon,5,5,EDAS
07058,New Jersey,8,4,NO
06095,Connecticut,8,4,NO
95814,California,5,5,NO
14202,New York,8,3,NO
33125,Florida,8,5,NO
60450,Illinois,7,8,NO
23069,Virginia,8,4,NO
30058,Georgia,7,4,NO
94160,California,4,5,NO
01590,Massachusetts,8,5,DAS
11559,New York,8,5,NO
02814,Rhode Island,8,5,DAS
11422,New York,8,4,NO
02863,Rhode Island,8,4,NO
34695,Florida,8,5,NO
32736,Florida,8,5,NO
11934,New York,8,4,DAS
84094,Utah,4,4,NO
90232,California,4,5,NO
10080,New York,8,5,NO
18643,Pennsylvania,8,4,NO
18434,Pennsylvania,8,4,NO
92675,California,4,5,NO
07420,New Jersey,8,4,NO
53233,Wisconsin,7,8,NO
11417,New York,8,4,NO
92661,California,4,5,NO
78284,Texas,4,5,NO
37148,Tennessee,7,3,DAS
94040,California,5,5,NO
01655,Massachusetts,8,4,NO
18031,Pennsylvania,8,4,DAS
30384,Georgia,7,3,NO
07719,New Jersey,8,4,DAS
