weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_17
114,82.63,84.95,91.61,96.41,111.47,122.58,135.84,456.94,456.94
115,85.14,86.23,91.64,97.58,111.49,123.75,135.89,460.83,460.83
116,85.15,86.24,92.76,97.59,113.12,125.3,138.0,463.72,463.72
117,85.24,87.07,93.65,98.9,113.13,125.31,138.9,467.4,467.4
118,86.15,88.09,93.74,99.19,113.96,125.32,141.28,471.09,471.09
119,88.71,89.9,96.52,100.69,113.97,126.3,141.29,477.91,477.91
120,91.12,91.19,96.66,101.38,115.96,127.96,141.3,481.83,481.83
121,91.13,91.21,96.67,101.4,116.7,127.98,141.31,485.05,485.05
122,91.14,92.96,97.62,102.31,117.61,129.99,143.79,493.76,493.76
123,91.96,93.05,100.55,105.1,118.53,132.38,145.75,493.77,493.77
124,91.97,93.97,101.6,105.11,119.31,132.39,145.76,497.43,497.43
125,92.85,93.98,101.61,105.12,119.32,132.4,145.77,501.59,501.59
126,94.71,94.9,102.65,105.13,120.03,132.41,150.91,504.7,504.7
127,94.72,96.54,104.64,107.52,122.76,134.8,150.92,508.8,508.8
128,95.6,96.55,104.65,107.54,122.77,134.81,151.73,512.94,512.94
129,97.42,97.79,104.69,108.27,122.78,134.83,153.19,517.08,517.08
130,97.8,97.82,105.63,108.28,123.67,136.58,156.7,531.25,531.25
131,98.34,99.35,107.64,110.05,125.49,137.87,157.42,531.26,531.26
132,99.38,99.39,107.65,110.78,125.5,137.88,157.43,536.03,536.03
133,100.22,100.49,107.66,110.79,126.15,137.89,157.44,539.25,539.25
134,102.09,102.21,109.78,112.78,128.33,140.15,157.46,539.27,539.27
135,102.87,104.23,111.78,114.78,129.91,140.89,158.23,543.35,543.35
136,103.62,104.24,112.54,115.78,129.92,143.08,159.31,547.48,547.48
137,103.64,104.49,115.52,116.63,129.93,143.09,159.32,562.18,562.18
138,105.57,107.15,116.08,117.59,132.59,144.3,163.69,565.17,565.17
139,107.53,107.54,116.11,117.61,132.61,146.99,163.73,565.18,565.18
140,108.42,109.26,117.25,119.45,134.03,147.0,163.74,565.19,565.19
141,108.43,109.27,118.28,119.47,134.04,147.01,165.29,566.64,566.64
142,109.82,109.83,119.33,121.38,136.04,147.67,165.3,576.09,576.09
143,109.83,109.84,119.34,121.39,136.05,147.68,165.31,579.99,579.99
144,112.93,114.45,122.83,125.19,139.67,152.93,171.08,583.97,583.97
145,112.94,115.6,122.84,125.2,141.75,153.27,171.09,583.98,583.98
146,112.95,115.61,122.85,125.21,141.76,153.28,171.1,586.69,586.69
147,114.32,116.75,125.01,126.47,142.78,153.29,172.68,600.67,600.67
148,114.33,117.44,125.16,126.48,142.79,153.3,172.69,600.68,600.68
149,114.34,117.45,126.88,128.46,143.26,154.75,174.33,601.96,601.96
150,114.35,117.46,126.9,130.29,143.27,154.76,174.34,606.09,606.09
