packagetype,shipment_count,current_total,s13_total,current_avg,s13_avg,avg_weight,p2p_us_count,p2p_us2_count,fedex_count,diff,diff_pct
PIZZA BOX 42x32x2 (3x strapped),1133,45872.02691430746,44977.86176216239,40.48722587317516,39.698024503232475,37.7738852755992,105,0,1028,-894.1651521450694,-1.949260175085439
MUG BOX 16x6x4,1130,10921.836044611486,6059.620000000029,9.665341632399544,5.362495575221264,2.8881570838603885,636,494,0,-4862.216044611457,-44.51830282702634
Carpet Box 22x4x4,1112,10066.352890687498,8003.97954594602,9.05247562112185,7.19782333268527,1.3935197532698436,665,410,37,-2062.373344741478,-20.487791031540368
POLY BAG 12x15,824,5935.248262486493,3859.1899999999873,7.202971192337977,4.6834830097087226,0.64924263299978,451,373,0,-2076.058262486506,-34.97845701936601
PIZZA BOX 36x24x2 (3x strapped),777,19491.050145344638,16222.477578378408,25.08500662206517,20.878349521722534,24.10141399435321,221,0,556,-3268.5725669662297,-16.769607294591644
WRAP 36''x24'' [x2],632,10850.19471156754,9245.04015135134,17.168029606910665,14.628228087581235,7.80773031028781,296,0,336,-1605.1545602161987,-14.793785760405957
MIXPIX BOX_(2),504,5260.34708003378,2660.110000000006,10.43719658736861,5.277996031746044,2.3167215562752825,308,196,0,-2600.237080033774,-49.43090333151698
"CROSS PACKAGING 40X40""",444,11806.147132648644,11083.91254054053,26.590421469929378,24.963766983199392,16.61134483580638,11,3,430,-722.2345921081142,-6.117445293484876
PIZZA BOX 40x30x2 (2x strapped),441,13508.11855244932,13725.22514594592,30.630654313944035,31.1229595146166,17.006783835057103,46,0,395,217.1065934966009,1.6072304418533159
PIZZA BOX 40x30x2 (3x strapped),433,15236.744704766907,15813.284172972997,35.18878684703674,36.52028677360969,32.334487156531274,39,0,394,576.5394682060905,3.783875620267607
PIZZA BOX 24x20x2 (3x strapped),329,6108.20614378041,4496.948399999997,18.5659761209131,13.668536170212755,16.31087700063787,161,0,168,-1611.257743780413,-26.37857508167193
MIXPIX BOX_(4),329,3988.93757978717,1513.0199999999982,12.124430333699605,4.598844984802426,0.6352529616291815,135,194,0,-2475.9175797871717,-62.069599492686834
Carpet Box 37x5x5,319,3495.632988496616,2803.049545945947,10.95809714262262,8.786989172244349,3.44856883901029,172,42,105,-692.5834425506687,-19.812819161216677
WRAP 36''x24'',307,4588.870999005715,3459.383913513509,14.947462537477898,11.26835150981599,9.360633752628349,151,1,155,-1129.487085492206,-24.61361597954999
WRAP 27''x23'',243,2843.3891458006738,2033.2477837837835,11.701189900414295,8.36727483038594,5.648342950171774,144,50,49,-810.1413620168903,-28.49210292630422
PIZZA BOX 27x23x2 (2x strapped),200,3464.859347631757,2741.0688,17.324296738158786,13.705344,16.628873174552602,95,0,105,-723.7905476317569,-20.889464044953808
PIZZA BOX 30x20x3 (3x strapped),142,2638.520415969596,2472.06401081081,18.581129689926733,17.40890148458317,26.107265270131276,48,0,94,-166.45640515878586,-6.308702564941758
WRAP 40''x30'',69,1048.1183521216217,1223.9053945945948,15.190121045240893,17.73775934195065,7.068403532349566,0,0,69,175.7870424729731,16.771678705667306
PIZZA BOX 27x23x2 (3x strapped),47,1235.5050760506758,976.4418918918922,26.2873420436314,20.775359401955154,26.461569332353186,17,1,29,-259.06318415878366,-20.968200712447565
WRAP 36''x24'' [x3],36,1025.278631793919,856.8842270270271,28.479961994275527,23.80233963963964,32.60955300469555,0,0,36,-168.39440476689185,-16.424257713462143
WRAP 40''x30'' [x3],6,196.07994952364862,198.25804324324324,32.67999158727477,33.043007207207204,25.67136066148667,0,0,6,2.1780937195946137,1.110819196397192
PAPIER-VERSANDTASCHE klein 250x353x50,1,11.640064864864865,4.31,11.640064864864865,4.31,1.09790206476,1,0,0,-7.330064864864865,-62.97271492868063
