State/Province, Dest Zip/Postal Code, Service Days, Zone
MA,01944,2,005
MA,01945,2,005
MA,01946,2,005
MA,01947,2,005
MA,01948,2,005
MA,01949,2,005
MA,01950,2,005
MA,01951,2,005
MA,01952,2,005
MA,01953,2,005
MA,01954,2,005
MA,01955,2,005
MA,01956,2,005
MA,01957,2,005
MA,01958,2,005
MA,01959,2,005
MA,01960,2,005
MA,01961,2,005
MA,01962,2,005
MA,01963,2,005
MA,01964,2,005
MA,01965,2,005
MA,01966,2,005
MA,01967,2,005
MA,01968,2,005
MA,01969,2,005
MA,01970,2,005
MA,01971,2,005
MA,01972,2,005
MA,01973,2,005
MA,01974,2,005
MA,01975,2,005
MA,01976,2,005
MA,01977,2,005
MA,01978,2,005
MA,01979,2,005
MA,01980,2,005
MA,01981,2,005
MA,01982,2,005
MA,01983,2,005
MA,01984,2,005
MA,01985,2,005
MA,01986,2,005
MA,01987,2,005
MA,01988,2,005
MA,01989,2,005
MA,01990,2,005
MA,01991,2,005
MA,01992,2,005
MA,01993,2,005
MA,01994,2,005
MA,01995,2,005
MA,01996,2,005
MA,01997,2,005
MA,01998,2,005
MA,01999,2,005
MA,02000,2,005
MA,02001,2,005
MA,02002,2,005
MA,02003,2,005
MA,02004,2,005
MA,02005,2,005
MA,02006,2,005
MA,02007,2,005
MA,02008,2,005
MA,02009,2,005
MA,02010,2,005
MA,02011,2,005
MA,02012,2,005
MA,02013,2,005
MA,02014,2,005
MA,02015,2,005
MA,02016,2,005
MA,02017,2,005
MA,02018,2,005
MA,02019,2,005
MA,02020,2,005
MA,02021,2,005
MA,02022,2,005
MA,02023,2,005
MA,02024,2,005
MA,02025,2,005
MA,02026,2,005
MA,02027,2,005
MA,02028,2,005
MA,02029,2,005
MA,02030,2,005
MA,02031,2,005
MA,02032,2,005
MA,02033,2,005
MA,02034,2,005
MA,02035,2,005
MA,02036,2,005
MA,02037,2,005
MA,02038,2,005
MA,02039,2,005
MA,02040,2,005
MA,02041,2,005
MA,02042,2,005
MA,02043,2,005
MA,02044,2,005
MA,02045,2,005
MA,02046,2,005
MA,02047,2,005
MA,02048,2,005
MA,02049,2,005
MA,02050,2,005
MA,02051,2,005
MA,02052,2,005
MA,02053,2,005
MA,02054,2,005
MA,02055,2,005
MA,02056,2,005
MA,02057,2,005
MA,02058,2,005
MA,02059,2,005
MA,02060,2,005
MA,02061,2,005
MA,02062,2,005
MA,02063,2,005
MA,02064,2,005
MA,02065,2,005
MA,02066,2,005
MA,02067,2,005
MA,02068,2,005
MA,02069,2,005
MA,02070,2,005
MA,02071,2,005
MA,02072,2,005
MA,02073,2,005
MA,02074,2,005
MA,02075,2,005
MA,02076,2,005
MA,02077,2,005
MA,02078,2,005
MA,02079,2,005
MA,02080,2,005
MA,02081,2,005
MA,02082,2,005
MA,02083,2,005
MA,02084,2,005
MA,02085,2,005
MA,02086,2,005
MA,02087,2,005
MA,02088,2,005
MA,02089,2,005
MA,02090,2,005
MA,02091,2,005
MA,02092,2,005
MA,02093,2,005
MA,02094,2,005
MA,02095,2,005
MA,02096,2,005
MA,02097,2,005
MA,02098,2,005
MA,02099,2,005
MA,02100,2,005
MA,02108,2,005
MA,02109,2,005
MA,02110,2,005
MA,02111,2,005
MA,02113,2,005
MA,02114,2,005
MA,02115,2,005
MA,02116,2,005
MA,02117,2,005
MA,02118,2,005
MA,02119,2,005
MA,02120,2,005
MA,02121,2,005
MA,02122,2,005
MA,02123,2,005
MA,02124,2,005
MA,02125,2,005
MA,02126,2,005
MA,02127,2,005
MA,02128,2,005
MA,02129,2,005
MA,02130,2,005
MA,02131,2,005
MA,02132,2,005
MA,02133,2,005
MA,02134,2,005
MA,02135,2,005
MA,02136,2,005
MA,02137,2,005
MA,02138,2,005
MA,02139,2,005
MA,02140,2,005
MA,02141,2,005
MA,02142,2,005
MA,02143,2,005
MA,02144,2,005
MA,02145,2,005
MA,02146,2,005
MA,02147,2,005
MA,02148,2,005
MA,02149,2,005
MA,02150,2,005
MA,02151,2,005
MA,02152,2,005
MA,02153,2,005
MA,02154,2,005
MA,02155,2,005
MA,02156,2,005
MA,02157,2,005
MA,02158,2,005
MA,02159,2,005
MA,02160,2,005
MA,02161,2,005
MA,02162,2,005
MA,02163,2,005
MA,02164,2,005
MA,02165,2,005
MA,02166,2,005
MA,02167,2,005
MA,02168,2,005
MA,02169,2,005
MA,02170,2,005
MA,02171,2,005
MA,02172,2,005
MA,02173,2,005
MA,02174,2,005
MA,02175,2,005
MA,02176,2,005
MA,02177,2,005
MA,02178,2,005
MA,02179,2,005
MA,02180,2,005
MA,02184,2,005
MA,02185,2,005
MA,02186,2,005
MA,02187,2,005
MA,02188,2,005
MA,02189,2,005
MA,02190,2,005
MA,02191,2,005
MA,02192,2,005
MA,02193,2,005
MA,02194,2,005
MA,02195,2,005
MA,02196,2,005
MA,02197,2,005
MA,02198,2,005
MA,02199,2,005
MA,02200,2,005
MA,02201,2,005
MA,02202,2,005
MA,02203,2,005
MA,02204,2,005
MA,02205,2,005
MA,02206,2,005
MA,02207,2,005
MA,02210,2,005
MA,02211,2,005
MA,02212,2,005
MA,02213,2,005
MA,02214,2,005
MA,02215,2,005
MA,02217,2,005
MA,02218,2,005
MA,02219,2,005
MA,02220,2,005
MA,02221,2,005
MA,02222,2,005
MA,02223,2,005
MA,02224,2,005
MA,02225,2,005
MA,02226,2,005
MA,02227,2,005
MA,02228,2,005
MA,02229,2,005
MA,02230,2,005
MA,02231,2,005
MA,02232,2,005
MA,02233,2,005
MA,02234,2,005
MA,02235,2,005
MA,02236,2,005
MA,02237,2,005
MA,02238,2,005
MA,02239,2,005
MA,02240,2,005
MA,02242,2,005
MA,02243,2,005
MA,02244,2,005
MA,02245,2,005
MA,02246,2,005
MA,02247,2,005
MA,02248,2,005
MA,02249,2,005
MA,02250,2,005
MA,02251,2,005
MA,02252,2,005
MA,02253,2,005
MA,02254,2,005
MA,02255,2,005
MA,02256,2,005
MA,02257,2,005
MA,02258,2,005
MA,02259,2,005
MA,02260,2,005
MA,02261,2,005
MA,02262,2,005
MA,02263,2,005
MA,02264,2,005
MA,02265,2,005
MA,02266,2,005
MA,02267,2,005
MA,02268,2,005
MA,02269,2,005
MA,02270,2,005
MA,02271,2,005
MA,02272,2,005
MA,02273,2,005
MA,02274,2,005
MA,02275,2,005
MA,02276,2,005
MA,02277,2,005
MA,02278,2,005
MA,02279,2,005
MA,02280,2,005
MA,02281,2,005
MA,02282,2,005
MA,02283,2,005
MA,02284,2,005
MA,02285,2,005
MA,02286,2,005
MA,02287,2,005
MA,02288,2,005
MA,02289,2,005
MA,02290,2,005
MA,02291,2,005
MA,02292,2,005
MA,02293,2,005
MA,02294,2,005
MA,02295,2,005
MA,02296,2,005
MA,02297,2,005
MA,02298,2,005
MA,02299,2,005
MA,02300,2,005
MA,02301,2,005
MA,02302,2,005
MA,02303,2,005
MA,02304,2,005
MA,02305,2,005
MA,02306,2,005
MA,02307,2,005
MA,02308,2,005
MA,02309,2,005
MA,02310,2,005
MA,02311,2,005
MA,02312,2,005
MA,02313,2,005
MA,02314,2,005
MA,02315,2,005
MA,02316,2,005
MA,02317,2,005
MA,02318,2,005
MA,02319,2,005
MA,02320,2,005
MA,02321,2,005
MA,02322,2,005
MA,02323,2,005
MA,02324,2,005
MA,02325,2,005
MA,02326,2,005
MA,02327,2,005
MA,02328,2,005
MA,02329,2,005
MA,02330,2,005
MA,02331,2,005
MA,02332,2,005
MA,02333,2,005
MA,02334,2,005
MA,02335,2,005
MA,02336,2,005
MA,02337,2,005
MA,02338,2,005
MA,02339,2,005
MA,02340,2,005
MA,02341,2,005
MA,02342,2,005
MA,02343,2,005
MA,02344,2,005
MA,02345,2,005
MA,02346,2,005
MA,02347,2,005
MA,02348,2,005
MA,02349,2,005
MA,02350,2,005
MA,02351,2,005
MA,02352,2,005
MA,02353,2,005
MA,02354,2,005
MA,02355,2,005
MA,02356,2,005
MA,02357,2,005
MA,02358,2,005
MA,02359,2,005
MA,02360,2,005
MA,02361,2,005
MA,02362,2,005
MA,02363,2,005
MA,02364,2,005
MA,02365,2,005
MA,02366,2,005
MA,02367,2,005
MA,02368,2,005
MA,02369,2,005
MA,02370,2,005
MA,02371,2,005
MA,02372,2,005
MA,02373,2,005
MA,02374,2,005
MA,02375,2,005
MA,02376,2,005
MA,02377,2,005
MA,02378,2,005
MA,02379,2,005
MA,02380,2,005
MA,02381,2,005
MA,02382,2,005
MA,02383,2,005
MA,02384,2,005
MA,02385,2,005
MA,02386,2,005
MA,02387,2,005
MA,02388,2,005
MA,02389,2,005
MA,02390,2,005
MA,02391,2,005
MA,02392,2,005
MA,02393,2,005
MA,02394,2,005
MA,02395,2,005
MA,02396,2,005
MA,02397,2,005
MA,02398,2,005
MA,02399,2,005
MA,02400,2,005
MA,02401,2,005
MA,02402,2,005
MA,02403,2,005
MA,02404,2,005
MA,02405,2,005
MA,02406,2,005
MA,02407,2,005
MA,02408,2,005
MA,02409,2,005
