weight_bracket,shipment_count,current_total,p2p_total,current_avg,p2p_avg,p2p_us_count,p2p_us2_count,diff,diff_pct
19,880,18732.862642164087,48837.84999999998,21.2873439115501,55.49755681818179,439,441,30104.98735783589,160.70681738772444
20,763,16721.968219749993,44171.77000000001,21.916078924967227,57.89222804718219,398,365,27449.801780250018,164.15413197490466
21,634,13848.948622550837,35677.27000000002,21.84376754345558,56.27329652996848,358,276,21828.32137744918,157.61717349362672
22,616,13631.808126875027,34555.689999999995,22.129558647524394,56.096899350649345,308,308,20923.88187312497,153.4930779422699
23,494,11742.13990150003,28492.81,23.769513970647832,57.67775303643725,288,206,16750.67009849997,142.65432228720178
24,400,9491.958423250007,22188.71000000002,23.729896058125018,55.47177500000005,251,149,12696.751576750014,133.7632447446256
25,405,9062.733245874999,26368.870000000024,22.37711912561728,65.10832098765438,197,208,17306.136754125026,190.9593528199906
26,436,11817.614906125005,32145.909999999993,27.104621344323405,73.72915137614677,219,217,20328.295093874985,172.01690235598167
27,218,5642.359302124997,14860.840000000013,25.882382119839438,68.16899082568813,117,101,9218.480697875017,163.3798949032402
28,195,5259.747582625002,13155.260000000007,26.973064526282062,67.46287179487183,118,77,7895.5124173750055,150.11200239830828
29,148,3968.177160125001,9172.649999999996,26.81200783868244,61.97736486486484,90,58,5204.472839874995,131.15525415984828
30,132,3392.2779465,8819.889999999996,25.699075352272725,66.81734848484845,74,58,5427.612053499995,159.99903719858693
31,182,4487.2632936249975,13103.369999999994,24.65529282211537,71.99653846153842,104,78,8616.106706374996,192.01250612184486
32,161,4322.445484874998,12657.41,26.84748748369564,78.61745341614906,85,76,8334.964515125,192.82983543206078
33,115,3275.5987720000003,8376.670000000002,28.483467582608696,73.47956140350878,67,47,5101.071228000002,155.72942790198363
34,132,3957.6345215,9458.190000000002,29.982079708333334,71.65295454545456,83,49,5500.555478500002,138.98593840886585
35,80,2378.197038375,7345.599999999998,29.7274629796875,91.81999999999996,30,50,4967.402961624997,208.87264097423898
36,76,2188.2925839999994,5374.659999999999,28.7933234736842,70.71921052631578,49,27,3186.3674159999996,145.60975252110075
37,268,7856.739747000003,21502.039999999997,29.316193085820906,80.23149253731343,146,122,13645.300252999994,173.67636821889485
38,82,2515.4613769999996,7468.57,30.676358256097558,91.08012195121951,38,44,4953.108623,196.9065662581231
39,75,2236.3187068750008,6441.49,29.817582758333344,85.88653333333333,35,40,4205.171293124999,188.03989253397805
40,46,1305.3329789999998,3768.0500000000006,28.376803891304345,81.91413043478262,26,20,2462.717021000001,188.66580869554522
41,61,2079.0016222500003,4534.460000000001,34.08199380737705,74.3354098360656,39,22,2455.4583777500006,118.10757391774327
42,47,1367.713034375,3564.180000000001,29.10027732712766,75.83361702127662,29,18,2196.466965625001,160.59413856713843
43,49,1490.1801209999999,3662.090000000001,30.41183920408163,74.73653061224492,32,17,2171.909879000001,145.74814469693234
44,25,723.3781425,1827.6099999999997,28.9351257,73.10439999999998,16,9,1104.2318574999997,152.64932579850515
45,45,1421.6511460000004,3548.480000000002,31.592247688888897,78.85511111111116,25,20,2126.8288540000012,149.60272497117944
46,54,1624.2377933749997,3781.8499999999995,30.078477655092588,70.03425925925924,36,18,2157.612206625,132.83844369497788
47,98,3419.1358132499995,6955.859999999997,34.88914095153061,70.9781632653061,63,35,3536.7241867499974,103.43912555460106
48,27,854.25640025,1881.6400000000003,31.639125935185184,69.69037037037039,17,10,1027.3835997500005,120.26642111775041
49,53,1801.2794880000004,4431.74,33.98640543396227,83.6177358490566,26,27,2630.4605119999997,146.03289103795086
50,15,405.44,1444.83,27.029333333333334,96.32199999999999,5,10,1039.3899999999999,256.3609905288082
51,16,770.71,2283.5099999999998,48.169375,142.71937499999999,0,16,1512.7999999999997,196.28654098169216
52,21,938.2199999999997,2546.65,44.67714285714284,121.26904761904763,0,21,1608.4300000000003,171.43420519707539
53,8,382.03,1093.93,47.75375,136.74125,0,8,711.9000000000001,186.34662199303725
54,6,253.95999999999998,771.19,42.32666666666666,128.53166666666667,0,6,517.23,203.66593164277842
55,10,423.607052125,1194.81,42.3607052125,119.481,0,10,771.202947875,182.05621082234242
56,5,316.77,638.83,63.354,127.766,0,5,322.06000000000006,101.66998137449887
57,2,87.46468837500001,259.0,43.732344187500004,129.5,0,2,171.535311625,196.11950240942016
58,31,1481.15683175,4250.61,47.779252637096775,137.1164516129032,0,31,2769.4531682499996,186.9790631811667
59,1,43.6,129.5,43.6,129.5,0,1,85.9,197.0183486238532
60,2,107.24,351.46,53.62,175.73,0,2,244.21999999999997,227.73218948153672
61,11,554.2299999999999,1572.5700000000002,50.384545454545446,142.9609090909091,0,11,1018.3400000000003,183.73960269202325
62,7,359.047339625,1073.33,51.29247708928572,153.33285714285714,0,7,714.282660375,198.93829630405244
63,1,41.68,101.74,41.68,101.74,0,1,60.059999999999995,144.09788867562378
64,5,252.26999999999998,741.63,50.45399999999999,148.326,0,5,489.36,193.98263765013678
65,4,170.12,476.98,42.53,119.245,0,4,306.86,180.3785563131907
66,12,612.8800000000001,1758.1599999999996,51.073333333333345,146.5133333333333,0,12,1145.2799999999995,186.8685550189269
67,4,187.75,497.25,46.9375,124.3125,0,4,309.5,164.8468708388815
68,2,95.65,288.15999999999997,47.825,144.07999999999998,0,2,192.50999999999996,201.26502875065336
69,4,202.52999999999997,580.02,50.63249999999999,145.005,0,4,377.49,186.38720189601543
70,3,131.44,366.42,43.81333333333333,122.14,0,3,234.98000000000002,178.77358490566039
