zone,packagetype,total_cost,avg_weight,usps_pct,fedex_pct,p2p_pct,usps_avg,fedex_avg,p2p_avg
4,PIZZA BOX 20x16x2,78430.74,3.2,53.3,6.6,40.1,7.61,8.37,4.44
4,PIZZA BOX 36x24x2,120173.72,5.9,7.3,69.6,23.1,13.23,11.29,5.06
4,PIZZA BOX 42x32x2,131256.28,8.7,0.0,100.0,0.0,,14.13,
4,WRAP 24''x16'',53787.32,2.6,21.6,25.2,53.1,10.26,8.3,4.36
4,PIZZA BOX 40x30x1,65187.26,3.4,30.5,69.5,0.0,10.71,9.0,
4,"CROSS PACKAGING 30X24""",42010.69,5.9,17.9,57.1,25.0,11.49,8.73,4.72
4,PIZZA BOX 48X36X1,74426.07,8.0,0.0,100.0,0.0,,14.93,
4,"21"" Tube",25595.53,0.6,40.3,2.3,57.4,6.91,8.38,4.29
4,PIZZA BOX 30x20x3,28501.05,5.5,10.2,38.9,50.9,13.32,11.65,4.96
4,POLY BAG 9x12,8640.42,0.9,81.4,0.0,18.6,4.43,,4.26
4,"26"" Tube",9133.21,0.7,37.8,4.4,57.8,6.91,8.32,4.29
4,MUG BOX 16x12x8,10746.93,4.6,51.7,2.4,45.9,8.06,8.93,4.72
4,MUG BOX 5x5x5,6787.85,0.9,46.3,0.1,53.7,4.78,8.32,4.15
4,MIXPIX BOX,5731.13,1.3,54.1,3.4,42.5,5.41,8.32,4.3
4,"",5094.23,2.3,40.3,1.1,58.6,7.14,11.87,4.37
4,"CROSS PACKAGING 49X30""",13984.81,17.9,0.0,100.0,0.0,,17.27,
4,PIZZA BOX 27x23x2,6680.93,7.3,20.5,29.2,50.3,12.94,11.18,4.9
4,BUBBLE MAILER 9x14,2815.45,0.5,85.7,0.0,14.3,3.93,,4.09
4,"POLY BAG 14,5x19",4267.15,3.8,41.1,2.6,56.3,7.87,8.92,4.67
4,PIZZA BOX 42x32x2 (2x strapped),15053.33,23.1,0.0,100.0,0.0,,21.82,
4,PIZZA BOX 24x20x2 (2x strapped),5142.41,10.9,1.2,55.2,43.6,13.59,11.91,5.54
4,BOX 16x24x12,5936.57,9.6,0.0,90.1,9.9,,11.95,8.16
4,MUG BOX 9x7x5,2713.01,1.7,48.8,0.0,51.2,6.36,,4.29
4,PIZZA BOX 30x20x3 (2x strapped),5660.53,11.0,0.0,77.3,22.7,,12.49,7.66
4,Carpet Box 22x4x4,2538.79,1.4,13.5,24.6,61.8,9.86,8.25,4.28
4,PIZZA BOX 40x30x2,5108.18,8.0,0.2,99.8,0.0,13.18,12.55,
4,PIZZA BOX 36x24x2 (2x strapped),4995.02,15.9,0.0,81.6,18.4,,13.51,7.44
4,MUG BOX 16x6x4,2393.03,2.9,48.5,16.5,35.0,7.41,8.25,4.36
4,"CROSS PACKAGING 40X30""",4608.84,12.7,1.1,95.6,3.3,14.0,12.86,5.29
4,POLY BAG 12x15,1334.05,0.6,85.8,0.0,14.2,4.1,,4.31
4,PIZZA BOX 42x32x2 (3x strapped),8654.41,36.8,0.0,100.0,0.0,,27.47,
4,WRAP 36''x24'' [x2],2934.53,7.4,0.0,89.6,10.4,,13.19,8.54
4,PIZZA BOX 36x24x2 (3x strapped),3381.15,23.9,0.0,97.8,2.2,,14.95,9.3
4,MIXPIX BOX_(2),1106.53,2.2,31.5,33.3,35.1,7.26,8.25,4.4
4,"CROSS PACKAGING 40X40""",2380.6,16.4,0.0,100.0,0.0,,15.56,
4,PIZZA BOX 40x30x2 (2x strapped),2682.74,16.5,0.0,100.0,0.0,,19.58,
4,MIXPIX BOX_(4),515.55,0.6,96.2,2.3,1.5,3.86,8.25,4.32
4,PIZZA BOX 40x30x2 (3x strapped),3121.16,34.1,0.0,100.0,0.0,,24.97,
4,Carpet Box 37x5x5,944.63,3.3,23.9,54.7,21.4,10.63,8.37,4.46
4,PIZZA BOX 24x20x2 (3x strapped),1043.07,15.8,0.0,65.7,34.3,,12.45,6.87
4,WRAP 27''x23'',707.15,5.1,15.6,51.1,33.3,11.47,8.84,4.66
4,WRAP 36''x24'',740.13,9.3,2.4,50.6,47.1,13.86,11.68,5.25
