zone,packagetype,total_ships,total_cost,avg_weight_lbs,usps_ships,usps_pct,usps_cost,usps_avg,fedex_ships,fedex_pct,fedex_cost,fedex_avg,p2p_ships,p2p_pct,p2p_cost,p2p_avg,fedex_sp_ships,fedex_hd_ships
3,PIZZA BOX 27x23x2 (2x strapped),22,217.71,16.62,0,0.0,0.0,,13,59.1,157.63,12.13,9,40.9,60.08,6.68,0,13
3,PIZZA BOX 30x20x3 (3x strapped),19,240.72,29.24,0,0.0,0.0,,19,100.0,240.72,12.67,0,0.0,0.0,,1,18
3,WRAP 40''x30'',10,130.25,7.64,0,0.0,0.0,,10,100.0,130.25,13.03,0,0.0,0.0,,0,10
3,PIZZA BOX 27x23x2 (3x strapped),3,37.28,21.92,0,0.0,0.0,,3,100.0,37.28,12.43,0,0.0,0.0,,0,3
3,WRAP 40''x30'' [x3],2,46.21,32.67,0,0.0,0.0,,2,100.0,46.21,23.1,0,0.0,0.0,,1,1
4,PIZZA BOX 20x16x1,40585,210363.65,1.27,21394,52.7,125901.27,5.88,186,0.5,1540.3,8.28,19005,46.8,82922.08,4.36,186,0
4,PIZZA BOX 12x8x1,19327,81814.42,0.7,12971,67.1,55560.13,4.28,17,0.1,141.3,8.31,6339,32.8,26112.99,4.12,17,0
4,PIZZA BOX 16x12x2,14865,87065.71,2.19,7799,52.5,54903.93,7.04,340,2.3,2811.77,8.27,6726,45.2,29350.01,4.36,340,0
4,WRAP 16''x12'',14013,71465.78,1.3,7008,50.0,41284.8,5.89,28,0.2,231.09,8.25,6977,49.8,29949.89,4.29,28,0
4,PIZZA BOX 24x20x2,13553,101804.23,4.23,3686,27.2,40365.44,10.95,3817,28.2,33616.14,8.81,6050,44.6,27822.65,4.6,3720,97
4,PIZZA BOX 20x16x2,12282,78430.74,3.2,6546,53.3,49800.12,7.61,805,6.6,6740.12,8.37,4931,40.1,21890.5,4.44,805,0
4,PIZZA BOX 36x24x2,12025,120173.72,5.9,874,7.3,11564.5,13.23,8374,69.6,94571.18,11.29,2777,23.1,14038.04,5.06,355,8019
4,PIZZA BOX 42x32x2,9291,131256.28,8.73,0,0.0,0.0,,9291,100.0,131256.28,14.13,0,0.0,0.0,,9290,1
4,WRAP 24''x16'',8107,53787.32,2.62,1755,21.6,18013.47,10.26,2046,25.2,16984.34,8.3,4306,53.1,18789.51,4.36,1990,56
4,PIZZA BOX 40x30x1,6846,65187.26,3.35,2088,30.5,22353.32,10.71,4758,69.5,42833.94,9.0,0,0.0,0.0,,4663,95
4,"CROSS PACKAGING 30X24""",5109,42010.69,5.88,914,17.9,10504.56,11.49,2918,57.1,25478.2,8.73,1277,25.0,6027.93,4.72,2771,147
4,PIZZA BOX 48X36X1,4985,74426.07,8.0,0,0.0,0.0,,4985,100.0,74426.07,14.93,0,0.0,0.0,,4983,2
