packagetype,p2p_zone,weight_group,shipments,carrier,assigned_avg,usps_avg,fedex_avg,p2p_avg
MUG BOX 16x12x8,false,4-6,1611,FEDEX,11.06,9.82,11.43,
MUG BOX 16x12x8,false,7-10,339,FEDEX,11.71,11.19,11.71,
MUG BOX 16x12x8,false,11-15,76,FEDEX,13.49,14.13,13.49,
MUG BOX 16x12x8,true,1-3,503,P2P,4.8,7.89,10.22,4.8
MUG BOX 16x12x8,true,4-6,1532,P2P,4.79,9.99,10.18,4.79
MUG BOX 16x12x8,true,7-10,284,P2P,4.84,10.83,10.45,4.84
MUG BOX 16x12x8,true,11-15,98,P2P,5.83,13.75,12.18,5.69
"26"" Tube",false,1-3,1940,USPS,7.35,7.43,10.08,
"26"" Tube",false,4-6,18,FEDEX,10.69,13.42,10.69,
"26"" Tube",false,7-10,2,FEDEX,10.21,18.7,10.21,
"26"" Tube",false,11-15,1,FEDEX,16.8,23.13,16.8,
"26"" Tube",true,1-3,2733,P2P,4.38,7.36,8.95,4.38
"26"" Tube",true,4-6,16,P2P,4.61,12.12,9.53,4.61
"26"" Tube",true,7-10,4,FEDEX,10.14,12.24,10.14,4.8
"26"" Tube",true,11-15,1,FEDEX,12.47,19.78,12.47,5.9
"26"" Tube",true,16-20,1,FEDEX,10.82,15.4,10.82,6.93
"26"" Tube",true,21+,1,FEDEX,10.53,200.0,10.53,9.1
MUG BOX 5x5x5,false,1-3,1891,USPS,5.12,5.12,10.03,
MUG BOX 5x5x5,false,4-6,1,FEDEX,9.94,13.95,9.94,
MUG BOX 5x5x5,true,1-3,2571,P2P,4.25,5.16,8.78,4.25
MUG BOX 5x5x5,true,4-6,1,FEDEX,8.32,7.85,8.32,4.54
MIXPIX BOX,false,1-3,1293,USPS,6.07,6.07,10.23,
MIXPIX BOX,false,4-6,116,FEDEX,10.25,9.33,10.25,
MIXPIX BOX,false,7-10,12,FEDEX,11.59,12.54,11.59,
MIXPIX BOX,true,1-3,1677,P2P,4.4,6.17,8.81,4.4
MIXPIX BOX,true,4-6,124,P2P,4.55,9.5,9.28,4.55
MIXPIX BOX,true,7-10,17,P2P,5.92,10.77,9.84,4.78
PIZZA BOX 42x32x2 (2x strapped),false,7-10,4,FEDEX,27.57,188.81,27.57,
PIZZA BOX 42x32x2 (2x strapped),false,11-15,186,FEDEX,29.33,202.09,29.33,
PIZZA BOX 42x32x2 (2x strapped),false,16-20,577,FEDEX,28.8,197.22,28.8,
PIZZA BOX 42x32x2 (2x strapped),false,21+,651,FEDEX,28.93,200.0,28.93,
PIZZA BOX 42x32x2 (2x strapped),true,7-10,8,FEDEX,30.22,210.01,30.22,39.66
PIZZA BOX 42x32x2 (2x strapped),true,11-15,164,FEDEX,27.6,197.26,27.6,39.51
PIZZA BOX 42x32x2 (2x strapped),true,16-20,564,FEDEX,27.39,196.95,27.39,39.52
PIZZA BOX 42x32x2 (2x strapped),true,21+,756,FEDEX,26.73,200.0,26.73,40.41
"",false,1-3,1083,USPS,8.15,8.15,9.96,
"",false,4-6,3,FEDEX,8.7,9.6,8.7,
"",false,7-10,3,FEDEX,10.36,12.2,10.36,
"",false,21+,2,FEDEX,20.11,200.0,20.11,
"",true,1-3,1590,P2P,4.47,8.35,9.02,4.47
"",true,4-6,3,FEDEX,8.7,10.22,8.7,39.12
"",true,21+,1,FEDEX,11.67,200.0,11.67,8.7
PIZZA BOX 27x23x2,false,1-3,3,FEDEX,12.2,16.29,12.2,
PIZZA BOX 27x23x2,false,4-6,304,FEDEX,12.84,15.57,12.84,
PIZZA BOX 27x23x2,false,7-10,834,FEDEX,12.91,15.44,12.91,
PIZZA BOX 27x23x2,false,11-15,63,FEDEX,13.47,17.53,13.47,
PIZZA BOX 27x23x2,false,16-20,23,FEDEX,13.93,17.16,13.93,
PIZZA BOX 27x23x2,false,21+,6,FEDEX,14.62,200.0,14.62,
PIZZA BOX 27x23x2,true,1-3,6,P2P,4.89,15.07,11.74,4.89
PIZZA BOX 27x23x2,true,4-6,289,P2P,4.96,15.72,11.88,4.96
PIZZA BOX 27x23x2,true,7-10,809,P2P,4.96,15.49,11.86,4.96
PIZZA BOX 27x23x2,true,11-15,65,P2P,5.57,15.97,11.86,5.57
PIZZA BOX 27x23x2,true,16-20,20,P2P,7.46,18.47,13.49,7.19
PIZZA BOX 27x23x2,true,21+,5,FEDEX,13.46,200.0,13.46,8.23
"CROSS PACKAGING 49X30""",false,7-10,8,FEDEX,17.46,161.96,17.46,
"CROSS PACKAGING 49X30""",false,11-15,134,FEDEX,19.97,175.7,19.97,
"CROSS PACKAGING 49X30""",false,16-20,611,FEDEX,20.13,170.89,20.13,
"CROSS PACKAGING 49X30""",false,21+,230,FEDEX,23.19,200.0,23.19,
"CROSS PACKAGING 49X30""",true,7-10,9,FEDEX,18.94,176.09,18.94,39.45
"CROSS PACKAGING 49X30""",true,11-15,163,FEDEX,19.0,173.89,19.0,39.35
"CROSS PACKAGING 49X30""",true,16-20,792,FEDEX,19.57,175.08,19.57,39.34
"CROSS PACKAGING 49X30""",true,21+,307,FEDEX,20.98,200.0,20.98,39.38
BUBBLE MAILER 9x14,false,1-3,939,USPS,4.25,4.25,10.08,
BUBBLE MAILER 9x14,true,1-3,1113,P2P,4.11,4.23,8.85,4.11
BUBBLE MAILER 9x14,true,4-6,1,FEDEX,12.32,10.21,12.32,4.54
"POLY BAG 14,5x19",false,1-3,104,USPS,7.42,7.42,10.9,
"POLY BAG 14,5x19",false,4-6,700,USPS,9.88,9.51,11.32,
"POLY BAG 14,5x19",false,7-10,41,FEDEX,10.85,11.05,10.85,
"POLY BAG 14,5x19",true,1-3,222,P2P,4.78,8.0,9.77,4.78
"POLY BAG 14,5x19",true,4-6,925,P2P,4.79,9.7,10.18,4.79
"POLY BAG 14,5x19",true,7-10,50,P2P,5.11,11.43,10.29,4.84
"POLY BAG 14,5x19",true,11-15,1,FEDEX,10.37,9.89,10.37,5.31
PIZZA BOX 24x20x2 (2x strapped),false,4-6,28,FEDEX,12.21,15.95,12.21,
PIZZA BOX 24x20x2 (2x strapped),false,7-10,311,FEDEX,13.07,17.36,13.07,
PIZZA BOX 24x20x2 (2x strapped),false,11-15,606,FEDEX,13.25,17.29,13.25,
PIZZA BOX 24x20x2 (2x strapped),false,16-20,42,FEDEX,14.74,18.68,14.74,
PIZZA BOX 24x20x2 (2x strapped),false,21+,1,FEDEX,13.36,200.0,13.36,
PIZZA BOX 24x20x2 (2x strapped),true,4-6,17,P2P,5.49,16.1,11.58,5.49
PIZZA BOX 24x20x2 (2x strapped),true,7-10,279,P2P,5.53,17.45,12.29,5.53
PIZZA BOX 24x20x2 (2x strapped),true,11-15,511,P2P,5.68,17.45,12.19,5.68
