zip_code,das_type_hd,das_type_sp
04658,DAS_EXTENDED,DAS_EXTENDED
04660,DAS_EXTENDED,
04662,DAS,DAS
04664,,DAS_EXTENDED
04666,DAS_EXTENDED,
04667,DAS_EXTENDED,DAS_EXTENDED
04668,,DAS_EXTENDED
04669,DAS,
04671,DAS_EXTENDED,
04673,,DAS_EXTENDED
04674,,DAS_EXTENDED
04679,DAS_EXTENDED,DAS_EXTENDED
04680,DAS_EXTENDED,DAS_EXTENDED
04681,,DAS_EXTENDED
04684,,DAS_EXTENDED
04691,DAS_EXTENDED,
04693,DAS_EXTENDED,
04694,DAS_EXTENDED,DAS_EXTENDED
04730,DAS,DAS
04732,,DAS_EXTENDED
04735,,DAS_EXTENDED
04736,DAS,DAS
04739,DAS_EXTENDED,
04740,DAS,
04742,DAS,DAS
04743,DAS_REMOTE,DAS_EXTENDED
04745,,DAS_EXTENDED
04746,DAS_REMOTE,
04747,DAS_EXTENDED,
04750,,DAS_EXTENDED
04756,DAS_EXTENDED,DAS_EXTENDED
04757,DAS_EXTENDED,DAS_EXTENDED
04758,DAS_EXTENDED,DAS_EXTENDED
04763,DAS_EXTENDED,
04765,DAS_EXTENDED,DAS_EXTENDED
04768,DAS_EXTENDED,DAS_EXTENDED
04769,DAS,DAS
04772,,DAS_EXTENDED
04773,DAS_EXTENDED,DAS_EXTENDED
04776,DAS_EXTENDED,DAS_EXTENDED
04777,,DAS_EXTENDED
04779,,DAS_EXTENDED
04780,DAS_EXTENDED,
04781,DAS_EXTENDED,
04783,DAS_REMOTE,
04785,DAS_EXTENDED,
04786,,DAS_EXTENDED
04841,DAS_REMOTE,DAS_EXTENDED
04843,DAS,
04847,DAS_EXTENDED,DAS_EXTENDED
04848,DAS_REMOTE,
04849,DAS,DAS
04853,DAS_REMOTE,
04854,DAS,DAS
04856,DAS,DAS
04858,DAS_EXTENDED,DAS_EXTENDED
04859,DAS_EXTENDED,
04861,DAS,DAS
04862,DAS_EXTENDED,DAS_EXTENDED
04863,DAS_EXTENDED,DAS_EXTENDED
04864,DAS_EXTENDED,
04910,DAS_EXTENDED,
04911,DAS_REMOTE,
04912,DAS_EXTENDED,
04915,,DAS
04917,DAS,
04920,DAS_EXTENDED,DAS_EXTENDED
04922,DAS_EXTENDED,DAS_EXTENDED
04924,,DAS_EXTENDED
04927,DAS,DAS
04928,DAS_EXTENDED,
04930,DAS_EXTENDED,DAS_EXTENDED
04932,,DAS_EXTENDED
04937,,DAS
04938,DAS,DAS
04939,DAS_EXTENDED,DAS_EXTENDED
04941,,DAS_EXTENDED
04943,,DAS_EXTENDED
04947,,DAS_EXTENDED
04949,,DAS_EXTENDED
04950,,DAS_EXTENDED
04952,DAS_EXTENDED,DAS_EXTENDED
04953,DAS_EXTENDED,DAS_EXTENDED
04957,DAS_EXTENDED,DAS_EXTENDED
04963,DAS,DAS
04964,DAS_REMOTE,DAS_EXTENDED
04965,DAS_EXTENDED,DAS_EXTENDED
04966,,DAS_EXTENDED
04967,DAS,DAS
04970,DAS_REMOTE,DAS_EXTENDED
04971,,DAS_EXTENDED
04973,,DAS_EXTENDED
04974,DAS_EXTENDED,DAS_EXTENDED
04976,DAS,DAS_EXTENDED
04978,,DAS_EXTENDED
04979,,DAS_EXTENDED
04982,DAS_REMOTE,
04983,DAS_EXTENDED,DAS_EXTENDED
04989,DAS_REMOTE,DAS_EXTENDED
05001,DAS,DAS
05032,DAS_EXTENDED,
05033,,DAS
05035,DAS_EXTENDED,
