packagetype,shipment_count,current_total,maersk_total,current_avg,maersk_avg,avg_weight,avg_billable_weight,diff,diff_pct
Carpet Box 22x4x4,1058,8826.202309900313,9767.819999999983,8.342346228639236,9.232344045368604,1.393529872269102,1.393529872269102,941.6176900996707,10.668435381811522
MUG BOX 16x6x4,1009,8516.048525125,5825.4,8.44008773550545,5.773439048562933,2.8594851214179138,2.8594851214179138,-2690.6485251249997,-31.59503515259157
PIZZA BOX 42x32x2 (3x strapped),877,31242.04691037484,93080.47999999998,35.623770707382945,106.13509692132267,36.02011481175416,64.2581551970693,61838.43308962514,197.93335970278525
POLY BAG 12x15,808,5280.526133999996,3256.0100000000193,6.535304621287124,4.029715346534678,0.6510212397953204,0.6510212397953204,-2024.5161339999768,-38.33928821911552
PIZZA BOX 36x24x2 (3x strapped),613,12604.669070375032,52972.54000000024,20.562266020187653,86.41523654159909,23.295571093317164,44.97413800703917,40367.870929625205,320.2612516381132
WRAP 36''x24'' [x2],601,8818.03182487499,42610.08999999995,14.672265931572362,70.89865224625616,7.767314676360728,35.79567305404492,33792.05817512496,383.21542546263174
MIXPIX BOX_(2),483,4093.3589473750003,2743.470000000007,8.474863245082817,5.680062111801257,2.3111474289142055,2.3111474289142055,-1349.8889473749932,-32.97753665704429
"CROSS PACKAGING 40X40""",397,10815.68185712501,13614.559999999967,27.24353112625947,34.293602015113265,16.39646146922779,26.016268783240257,2798.878142874957,25.8779629416628
PIZZA BOX 40x30x2 (2x strapped),331,8578.42160287499,25650.569999999992,25.916681579682752,77.49416918429,16.712205045577353,38.975681905965295,17072.148397125,199.01269939219827
MIXPIX BOX_(4),315,2752.777014249999,1207.169999999999,8.738974648412695,3.8322857142857107,0.6131650404387321,0.6131650404387321,-1545.60701425,-56.147192680301586
PIZZA BOX 24x20x2 (3x strapped),294,4612.664786375006,10372.440000000011,15.689336008078252,35.28040816326534,16.437613763705226,25.091802337363,5759.775213625006,124.86871429804222
WRAP 36''x24'',294,3479.241346769227,3840.469999999997,11.834154240711657,13.06282312925169,9.418140333923615,16.156481445786024,361.22865323076985,10.38239711557238
Carpet Box 37x5x5,288,2897.1245757499964,2880.14,10.059460332465266,10.00048611111111,3.416904793051811,3.416904793051811,-16.984575749996566,-0.5862563140074729
PIZZA BOX 40x30x2 (3x strapped),239,6459.128037750005,23207.12000000001,27.02564032531383,97.1009205020921,28.146555354976375,59.63262759828536,16747.991962250006,259.2918403903332
WRAP 27''x23'',228,2353.5014939999987,2364.4700000000007,10.322374973684205,10.370482456140355,5.664864846667108,5.664864846667108,10.96850600000198,0.46605052208231085
PIZZA BOX 27x23x2 (2x strapped),184,2733.294229625001,6782.469999999995,14.854859943614137,36.86124999999997,16.818634628771743,25.43068449440072,4049.1757703749936,148.14269632912982
PIZZA BOX 30x20x3 (3x strapped),100,1475.03764725,8017.560000000005,14.7503764725,80.17560000000005,25.151459206496206,44.036707656530105,6542.522352750005,443.54951651217965
WRAP 40''x30'',65,828.4135243750001,2259.98,12.744823451923079,34.76892307692308,6.966064802862769,23.150602409638562,1431.5664756249998,172.80819705412839
PIZZA BOX 27x23x2 (3x strapped),36,711.0102861250001,2876.379999999999,19.750285725694447,79.89944444444443,26.73594842887777,37.62731609457447,2165.369713874999,304.54829643551926
WRAP 36''x24'' [x3],20,440.4563202500001,1762.2399999999996,22.022816012500005,88.11199999999998,32.827822891979004,54.95451807228915,1321.7836797499995,300.0941566691026
WRAP 40''x30'' [x3],5,129.315700875,393.96999999999997,25.863140175,78.794,26.408733440456,63.216867469879524,264.65429912499997,204.65751438862156
